project,run_id,timestamp_utc,component,component_type,ca__ck__ck-ce-ca-proxy,ca__jdepend__jdepend-default,cbo__ck__ck-ce-ca-proxy,cc__ck__ck-normalized,cc__lizard__lizard-default,ce__ck__ck-ce-ca-proxy,ce__jdepend__jdepend-default,duplication-rate__jscpd__jscpd-default,instability__ck__ck-ce-ca-proxy-derived,instability__jdepend__jdepend-default-derived,lcom__ck__ck-default,lcom__ckjm__ckjm-default,maintainability-index__java-halstead-analyzer__mi-halstead-default,nom__ck__ck-raw,test-coverage__jacoco__jacoco-default,wmc__ck__ck-raw
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,gradle,module,,,,,,,,,,,0.0,,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,kotlin-js-store,module,,,,,,,,,,,0.0,,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,okio,module,,,,,,,,,,,0.0,,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,okio-assetfilesystem,module,,,,,,,,,,,0.0,,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,okio-bom,module,,,,,,,,,,,0.0,,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,okio-fakefilesystem,module,,,,,,,,,,,0.0,,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,okio-nodefilesystem,module,,,,,,,,,,,0.0,,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,okio-testing-support,module,,,,,,,,,,,0.0,,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,okio-wasifilesystem,module,,,,,,,,,,,0.0,,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,samples,module,,,,,,,,,,,0.0,,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,android-test,module,,,,,,,,,,,,0.0,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,build-support,module,,,,,,,,,,,,16.785714,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,docs,module,,,,,,,,,,,,0.0,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,gradle,module,,,,,,,,,,,,0.0,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,kotlin-js-store,module,,,,,,,,,,,,0.0,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,okio,module,,,,,,,,,,,,197.547009,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,okio-assetfilesystem,module,,,,,,,,,,,,0.0,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,okio-bom,module,,,,,,,,,,,,0.0,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,okio-fakefilesystem,module,,,,,,,,,,,,115.307692,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,okio-nodefilesystem,module,,,,,,,,,,,,0.0,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,okio-testing-support,module,,,,,,,,,,,,115.60221,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,okio-wasifilesystem,module,,,,,,,,,,,,0.0,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,samples,module,,,,,,,,,,,,3.941176,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:56Z,okio,module,,,,,,,,0.3085,,,,,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:56Z,samples,module,,,,,,,,0.1589,,,,,,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,android-test,module,,,,,,,,,,,,,0.0,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,build-support,module,,,,,,,,,,,,,0.0,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,docs,module,,,,,,,,,,,,,0.0,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,gradle,module,,,,,,,,,,,,,0.0,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,kotlin-js-store,module,,,,,,,,,,,,,0.0,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,okio,module,,,,,,,,,,,,,34.589232,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,okio-assetfilesystem,module,,,,,,,,,,,,,0.0,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,okio-bom,module,,,,,,,,,,,,,0.0,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,okio-fakefilesystem,module,,,,,,,,,,,,,0.0,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,okio-nodefilesystem,module,,,,,,,,,,,,,0.0,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,okio-testing-support,module,,,,,,,,,,,,,0.0,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,okio-wasifilesystem,module,,,,,,,,,,,,,0.0,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,samples,module,,,,,,,,,,,,,39.695112,,,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,android-test,module,,,,,,,,,,,,,,,0.0,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,build-support,module,,,,,,,,,,,,,,,0.0,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,docs,module,,,,,,,,,,,,,,,0.0,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,gradle,module,,,,,,,,,,,,,,,0.0,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,kotlin-js-store,module,,,,,,,,,,,,,,,0.0,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,okio,module,,,,,,,,,,,,,,,0.0,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,okio-assetfilesystem,module,,,,,,,,,,,,,,,0.0,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,okio-bom,module,,,,,,,,,,,,,,,0.0,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,okio-fakefilesystem,module,,,,,,,,,,,,,,,0.0,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,okio-nodefilesystem,module,,,,,,,,,,,,,,,0.0,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,okio-testing-support,module,,,,,,,,,,,,,,,0.0,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,okio-wasifilesystem,module,,,,,,,,,,,,,,,0.0,
okio,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,samples,module,,,,,,,,,,,,,,,0.0,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:26Z,gradle,module,,,,,0.0,,,,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:26Z,retrofit,module,,,,,2.741573,,,,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:26Z,retrofit-adapters,module,,,,,2.064935,,,,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:26Z,retrofit-bom,module,,,,,0.0,,,,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:26Z,retrofit-converters,module,,,,,1.765625,,,,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:26Z,retrofit-mock,module,,,,,1.69863,,,,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:26Z,retrofit-response-type-keeper,module,,,,,0.0,,,,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:26Z,samples,module,,,,,1.92,,,,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:26Z,website,module,,,,,0.0,,,,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:34Z,gradle,module,,,,0.0,,,,,,,,,,0.0,,0.0
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:34Z,retrofit,module,,,,2.459184,,,,,,,,,,294.0,,723.0
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:34Z,retrofit-adapters,module,,,,1.378378,,,,,,,,,,703.0,,969.0
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:34Z,retrofit-bom,module,,,,0.0,,,,,,,,,,0.0,,0.0
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:34Z,retrofit-converters,module,,,,1.42671,,,,,,,,,,307.0,,438.0
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:34Z,retrofit-mock,module,,,,1.670886,,,,,,,,,,79.0,,132.0
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:34Z,retrofit-response-type-keeper,module,,,,0.0,,,,,,,,,,0.0,,0.0
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:34Z,samples,module,,,,1.483516,,,,,,,,,,91.0,,135.0
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:34Z,website,module,,,,0.0,,,,,,,,,,0.0,,0.0
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:25Z,gradle,module,,0.0,,,,,0.0,,,0.0,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:25Z,retrofit,module,,1.0,,,,,24.0,,,0.96,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:25Z,retrofit-adapters,module,,0.0,,,,,0.0,,,0.0,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:25Z,retrofit-bom,module,,0.0,,,,,0.0,,,0.0,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:25Z,retrofit-converters,module,,0.0,,,,,0.0,,,0.0,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:25Z,retrofit-mock,module,,0.0,,,,,9.0,,,1.0,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:25Z,retrofit-response-type-keeper,module,,0.0,,,,,13.0,,,1.0,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:25Z,samples,module,,0.0,,,,,15.0,,,1.0,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:25Z,website,module,,0.0,,,,,0.0,,,0.0,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:31Z,gradle,module,0.0,,0.0,,,0.0,,,0.0,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:31Z,retrofit,module,202.0,,499.0,,,499.0,,,0.71184,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:31Z,retrofit-adapters,module,343.0,,1577.0,,,1577.0,,,0.821354,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:31Z,retrofit-bom,module,0.0,,0.0,,,0.0,,,0.0,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:31Z,retrofit-converters,module,81.0,,700.0,,,700.0,,,0.896287,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:31Z,retrofit-mock,module,14.0,,70.0,,,70.0,,,0.833333,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:31Z,retrofit-response-type-keeper,module,0.0,,0.0,,,0.0,,,0.0,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:31Z,samples,module,3.0,,242.0,,,242.0,,,0.987755,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:31Z,website,module,0.0,,0.0,,,0.0,,,0.0,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,gradle,module,,,,,,,,,,,0.0,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,retrofit,module,,,,,,,,,,,7.210526,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,retrofit-adapters,module,,,,,,,,,,,0.0,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,retrofit-bom,module,,,,,,,,,,,0.0,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,retrofit-converters,module,,,,,,,,,,,0.0,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,retrofit-mock,module,,,,,,,,,,,12.928571,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,retrofit-response-type-keeper,module,,,,,,,,,,,0.0,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,samples,module,,,,,,,,,,,1.0,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,website,module,,,,,,,,,,,0.0,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,gradle,module,,,,,,,,,,,,0.0,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,retrofit,module,,,,,,,,,,,,7.106195,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,retrofit-adapters,module,,,,,,,,,,,,0.0,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,retrofit-bom,module,,,,,,,,,,,,0.0,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,retrofit-converters,module,,,,,,,,,,,,0.0,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,retrofit-mock,module,,,,,,,,,,,,14.875,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,retrofit-response-type-keeper,module,,,,,,,,,,,,10.0,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,samples,module,,,,,,,,,,,,4.285714,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,website,module,,,,,,,,,,,,0.0,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:56Z,retrofit,module,,,,,,,,0.1991,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:56Z,retrofit-adapters,module,,,,,,,,0.4775,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:56Z,retrofit-converters,module,,,,,,,,0.3014,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:56Z,retrofit-mock,module,,,,,,,,0.0138,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:56Z,samples,module,,,,,,,,0.1066,,,,,,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,gradle,module,,,,,,,,,,,,,0.0,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,retrofit,module,,,,,,,,,,,,,47.303591,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,retrofit-adapters,module,,,,,,,,,,,,,47.226458,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,retrofit-bom,module,,,,,,,,,,,,,0.0,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,retrofit-converters,module,,,,,,,,,,,,,53.186567,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,retrofit-mock,module,,,,,,,,,,,,,41.210531,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,retrofit-response-type-keeper,module,,,,,,,,,,,,,0.0,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,samples,module,,,,,,,,,,,,,36.777473,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,website,module,,,,,,,,,,,,,0.0,,,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,gradle,module,,,,,,,,,,,,,,,0.0,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,retrofit,module,,,,,,,,,,,,,,,0.0,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,retrofit-adapters,module,,,,,,,,,,,,,,,0.0,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,retrofit-bom,module,,,,,,,,,,,,,,,0.0,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,retrofit-converters,module,,,,,,,,,,,,,,,0.0,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,retrofit-mock,module,,,,,,,,,,,,,,,0.0,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,retrofit-response-type-keeper,module,,,,,,,,,,,,,,,0.0,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,samples,module,,,,,,,,,,,,,,,0.0,
retrofit,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,website,module,,,,,,,,,,,,,,,0.0,
spring-framework,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:26Z,spring-core,module,,,,,2.307313,,,,,,,,,,,
spring-framework,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:43:34Z,spring-core,module,,,,2.18949,,,,,,,,,,7098.0,,15541.0
spring-framework,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:25Z,spring-core,module,,104.0,,,,,366.0,,,0.778723,,,,,,
spring-framework,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:44:31Z,spring-core,module,2775.0,,4815.0,,,4815.0,,,0.634387,,,,,,,
spring-framework,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:23Z,spring-core,module,,,,,,,,,,,40.957692,,,,,
spring-framework,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:48Z,spring-core,module,,,,,,,,,,,,49.494932,,,,
spring-framework,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:45:56Z,spring-core,module,,,,,,,,0.1439,,,,,,,,
spring-framework,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:22Z,spring-core,module,,,,,,,,,,,,,42.051606,,,
spring-framework,8a6d4c8b-2e87-4462-9f2e-7221372772ae,2026-03-02T13:46:28Z,spring-core,module,,,,,,,,,,,,,,,0.0,
