project,run_id,timestamp_utc,component,component_type,metric,tool,variant,duplicate_count,distinct_values,min_value,max_value,mean_value,tool_versions
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ea@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ec@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Eo@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Er@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Error@L22,method,cc,lizard,lizard-default,2,2,1.0,7.0,4.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Fl@L52,method,cc,lizard,lizard-default,3,1,1.0,1.0,1.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Fo@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Fr@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ft@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Fu@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
