metric,pairs,rho_mean,rho_median,rho_min,rho_max,n_common_min,n_common_max
ca,1,0.825806,0.825806,0.825806,0.825806,96,96
cc,1,0.891545,0.891545,0.891545,0.891545,58,58
ce,1,0.775548,0.775548,0.775548,0.775548,96,96
instability,2,0.310827,0.310827,0.213672,0.407982,96,96
lcom,1,1.0,1.0,1.0,1.0,96,96
loc,3,0.9790783333333334,0.970404,0.970025,0.996806,22266,22266
